species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,P0,AB,P1,40,60,40,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,AB,ABa,ABp,48,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,P1,EMS,P2,50,55,45,,45,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABa,ABal,ABar,58,50,50,,45,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABp,ABpl,ABpr,58,50,50,,45,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,EMS,MS,E,60,60,40,,45,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,P2,C,P3,62,55,45,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABal,ABala,ABalp,70,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABar,ABara,ABarp,70,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABpl,ABpla,ABplp,70,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,ABpr,ABpra,ABprp,70,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,MS,MSa,MSp,72,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,E,Ea,Ep,74,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,C,Ca,Cp,76,50,50,,90,,
c_elegans,https://wormatlas.org/SulstonembCellLin_1983/SulstonembCellLin1983.html,P3,D,P4,78,60,40,,90,,
