species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,P0,A,B,50,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A,A1,A2,80,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B,B1,B2,80,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A1,A1a,A1b,110,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A2,A2a,A2b,110,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B1,B1a,B1b,110,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B2,B2a,B2b,110,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A1a,A1a1,A1a2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A1b,A1b1,A1b2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A2a,A2a1,A2a2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,A2b,A2b1,A2b2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B1a,B1a1,B1a2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B1b,B1b1,B1b2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B2a,B2a1,B2a2,140,0.5,0.5,,90,sphere,
clytia_hemisphaerica,https://pubmed.ncbi.nlm.nih.gov/21558386/,B2b,B2b1,B2b2,140,0.5,0.5,,90,sphere,
