species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12100,P0,A,B,45,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12101,A,A1,A2,75,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12102,B,B1,B2,75,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12103,A1,A1a,A1b,100,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12104,A2,A2a,A2b,100,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12105,B1,B1a,B1b,100,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12106,B2,B2a,B2b,100,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12107,A1a,A1a1,A1a2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12108,A1b,A1b1,A1b2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12109,A2a,A2a1,A2a2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12110,A2b,A2b1,A2b2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12111,B1a,B1a1,B1a2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12112,B1b,B1b1,B1b2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12113,B2a,B2a1,B2a2,130,0.5,0.5,,90,sphere,
hydractinia_echinata,https://onlinelibrary.wiley.com/doi/10.1111/ede.12114,B2b,B2b1,B2b2,130,0.5,0.5,,90,sphere,
