species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,P0,A,B,240,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A,A1,A2,480,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B,B1,B2,480,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A1,A1a,A1b,720,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A2,A2a,A2b,720,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B1,B1a,B1b,720,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B2,B2a,B2b,720,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A1a,A1a1,A1a2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A1b,A1b1,A1b2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A2a,A2a1,A2a2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,A2b,A2b1,A2b2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B1a,B1a1,B1a2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B1b,B1b1,B1b2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B2a,B2a1,B2a2,960,0.5,0.5,,90,sphere,
moon_jellyfish,https://pmc.ncbi.nlm.nih.gov/articles/PMC9123889/,B2b,B2b1,B2b2,960,0.5,0.5,,90,sphere,
