species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id40,P0,Cell1,Cell2,90,50,50,,90,sphere,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id41,Cell1,Cell1a,Cell1b,180,50,50,,90,sphere,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id42,Cell2,Cell2a,Cell2b,180,50,50,,90,sphere,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id43,Cell1a,Cell1a1,Cell1a2,230,50,25,,90,sphere,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id44,Cell1b,Cell1b1,Cell1b2,230,50,25,,90,sphere,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id45,Cell2a,Cell2a1,Cell2a2,230,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id46,Cell2b,Cell2b1,Cell2b2,230,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id47,Cell1a1,Cell1a1a,Cell1a1b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id48,Cell1a2,Cell1a2a,Cell1a2b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id49,Cell1b1,Cell1b1a,Cell1b1b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id50,Cell1b2,Cell1b2a,Cell1b2b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id51,Cell2a1,Cell2a1a,Cell2a1b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id52,Cell2a2,Cell2a2a,Cell2a2b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id53,Cell2b1,Cell2b1a,Cell2b1b,290,50,25,,90,,
nematostella_vectensis,https://www.sciencedirect.com/science/article/pii/S0012160607012171#aep-e-component-id54,Cell2b2,Cell2b2a,Cell2b2b,290,50,25,,90,,
