species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000431,P0,A,B,50,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000432,A,A1,A2,80,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000433,B,B1,B2,80,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000434,A1,A1a,A1b,100,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000435,A2,A2a,A2b,100,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000436,B1,B1a,B1b,100,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000437,B2,B2a,B2b,100,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000438,A1a,A1a1,A1a2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000439,A1b,A1b1,A1b2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000440,A2a,A2a1,A2a2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000441,A2b,A2b1,A2b2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000442,B1a,B1a1,B1a2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000443,B1b,B1b1,B1b2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000444,B2a,B2a1,B2a2,130,0.5,0.5,,90,sphere,
podocoryna_carnea,https://www.sciencedirect.com/science/article/pii/S0012160606000445,B2b,B2b1,B2b2,130,0.5,0.5,,90,sphere,
