species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-5,P0,AB,CD,480,50,50,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-6,AB,A,B,660,50,50,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-7,CD,C,D,660,50,50,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-8,A,1a,1A,840,30,70,,45,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-9,B,1b,1B,840,30,70,,45,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-10,C,1c,1C,840,30,70,,45,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-11,D,1d,1D,840,30,70,,45,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-12,1A,2a,2A,900,25,75,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-13,1B,2b,2B,900,25,75,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-14,1C,2c,2C,900,25,75,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-15,1D,2d,2D,900,25,75,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-16,2A,3a,3A,900,20,80,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-17,2B,3b,3B,900,20,80,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-18,2C,3c,3C,900,20,80,,90,,
polyclad_flatworm,https://evodevojournal.biomedcentral.com/articles/10.1186/s13227-019-0126-19,2D,3d,3D,900,20,80,,90,,
