species,source,parent,left_child,right_child,time,left_volume,right_volume,fate,division_angle,shape,elongation_axis
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,P0,Cell1,Cell2,70,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1,Cell1a,Cell1b,110,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2,Cell2a,Cell2b,110,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1a,Cell1a1,Cell1a2,150,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1b,Cell1b1,Cell1b2,150,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2a,Cell2a1,Cell2a2,150,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2b,Cell2b1,Cell2b2,150,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1a1,Cell1a1a,Cell1a1b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1a2,Cell1a2a,Cell1a2b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1b1,Cell1b1a,Cell1b1b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell1b2,Cell1b2a,Cell1b2b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2a1,Cell2a1a,Cell2a1b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2a2,Cell2a2a,Cell2a2b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2b1,Cell2b1a,Cell2b1b,190,0.5,0.5,,90,sphere,
sea_urchin,https://www.ncbi.nlm.nih.gov/books/NBK9987/,Cell2b2,Cell2b2a,Cell2b2b,190,0.5,0.5,,90,sphere,
